Axonics Quarterly Net Income (Millions of US $),Axonics Quarterly Net Income (Millions of US $).1
2024-06-30,$7
2024-03-31,$-19
2023-12-31,$7
2023-09-30,$4
2023-06-30,$-7
2023-03-31,$-9
2022-12-31,$1
2022-09-30,$-16
2022-06-30,$-21
2022-03-31,$-23
2021-12-31,$-15
2021-09-30,$-17
2021-06-30,$-25
2021-03-31,$-23
2020-12-31,$-11
2020-09-30,$-9
2020-06-30,$-20
2020-03-31,$-15
2019-12-31,$-23
2019-09-30,$-25
2019-06-30,$-19
2019-03-31,$-13
2018-12-31,$-10
2018-09-30,$-8
2018-06-30,$-9
2018-03-31,$-7
2017-12-31,
2017-09-30,$-5
2016-12-31,
