Rivian Automotive Quarterly Net Income (Millions of US $),Rivian Automotive Quarterly Net Income (Millions of US $).1
2024-06-30,"$-1,457"
2024-03-31,"$-1,446"
2023-12-31,"$-1,521"
2023-09-30,"$-1,367"
2023-06-30,"$-1,195"
2023-03-31,"$-1,349"
2022-12-31,"$-1,723"
2022-09-30,"$-1,724"
2022-06-30,"$-1,712"
2022-03-31,"$-1,593"
2021-12-31,"$-2,461"
2021-09-30,"$-1,233"
2021-06-30,$-580
2021-03-31,$-414
2020-12-31,
2020-09-30,$-288
2019-12-31,
