Dillard's Quarterly Net Income (Millions of US $),Dillard's Quarterly Net Income (Millions of US $).1
2024-07-31,$74
2024-04-30,$180
2024-01-31,$251
2023-10-31,$155
2023-07-31,$132
2023-04-30,$201
2023-01-31,$289
2022-10-31,$188
2022-07-31,$163
2022-04-30,$251
2022-01-31,$321
2021-10-31,$197
2021-07-31,$186
2021-04-30,$158
2021-01-31,$67
2020-10-31,$32
2020-07-31,$-9
2020-04-30,$-162
2020-01-31,$68
2019-10-31,$5
2019-07-31,$-41
2019-04-30,$79
2019-01-31,$85
2018-10-31,$7
2018-07-31,$-3
2018-04-30,$81
2018-01-31,$158
2017-10-31,$15
2017-07-31,$-17
2017-04-30,$66
2017-01-31,$57
2016-10-31,$23
2016-07-31,$12
2016-04-30,$77
2016-01-31,$84
2015-10-31,$46
2015-07-31,$30
2015-04-30,$110
2015-01-31,$130
2014-10-31,$55
2014-07-31,$34
2014-04-30,$112
2014-01-31,$119
2013-10-31,$51
2013-07-31,$36
2013-04-30,$117
2013-01-31,$161
2012-10-31,$49
2012-07-31,$31
2012-04-30,$95
2012-01-31,$141
2011-10-31,$228
2011-07-31,$18
2011-04-30,$77
2011-01-31,$110
2010-10-31,$14
2010-07-31,$7
2010-04-30,$49
2010-01-31,$80
2009-10-31,$8
2009-07-31,$-27
2009-04-30,$8
2009-01-31,$-149
