CubeSmart Quarterly Net Income (Millions of US $),CubeSmart Quarterly Net Income (Millions of US $).1
2024-06-30,$94
2024-03-31,$95
2023-12-31,$113
2023-09-30,$103
2023-06-30,$98
2023-03-31,$98
2022-12-31,$82
2022-09-30,$113
2022-06-30,$58
2022-03-31,$38
2021-12-31,$45
2021-09-30,$88
2021-06-30,$49
2021-03-31,$42
2020-12-31,$42
2020-09-30,$47
2020-06-30,$39
2020-03-31,$38
2019-12-31,$42
2019-09-30,$42
2019-06-30,$49
2019-03-31,$35
2018-12-31,$48
2018-09-30,$43
2018-06-30,$38
2018-03-31,$34
2017-12-31,$40
2017-09-30,$37
2017-06-30,$32
2017-03-31,$25
2016-12-31,$23
2016-09-30,$23
2016-06-30,$19
2016-03-31,$14
2015-12-31,$36
2015-09-30,$17
2015-06-30,$12
2015-03-31,$7
2014-12-31,$4
2014-09-30,$7
2014-06-30,$6
2014-03-31,$3
2013-12-31,$21
2013-09-30,$15
2013-06-30,$1
2013-03-31,$-2
2012-12-31,$-0
2012-09-30,$0
2012-06-30,$1
2012-03-31,$-5
2011-12-31,$-9
2011-09-30,$7
2011-06-30,$1
2011-03-31,$-0
2010-12-31,$2
2010-09-30,$-1
2010-06-30,$-5
2010-03-31,$-3
2009-12-31,$-3
2009-09-30,$7
2009-06-30,$-3
2009-03-31,$-2
