DXC Technology Quarterly Net Income (Millions of US $),DXC Technology Quarterly Net Income (Millions of US $).1
2024-06-30,$26
2024-03-31,$-200
2023-12-31,$156
2023-09-30,$99
2023-06-30,$36
2023-03-31,$-756
2022-12-31,$59
2022-09-30,$27
2022-06-30,$102
2022-03-31,$530
2021-12-31,$98
2021-09-30,$-188
2021-06-30,$278
2021-03-31,$-798
2020-12-31,"$1,098"
2020-09-30,$-244
2020-06-30,$-205
2020-03-31,"$-3,495"
2019-12-31,$82
2019-09-30,"$-2,119"
2019-06-30,$163
2019-03-31,$274
2018-12-31,$462
2018-09-30,$262
2018-06-30,$259
2018-03-31,$560
2017-12-31,$776
2017-09-30,$256
2017-06-30,$159
2017-03-31,$-148
2016-12-31,$31
2016-09-30,$15
2016-06-30,$-21
2016-03-31,$-126
2015-12-31,$50
2015-09-30,$171
2015-06-30,$163
2015-03-31,$9
2014-12-31,$-314
2014-09-30,$151
2014-06-30,$146
2014-03-31,$270
2013-12-31,$271
2013-09-30,$232
2013-06-30,$174
2013-03-31,$80
2012-12-31,$510
2012-09-30,$130
2012-06-30,$40
2012-03-31,"$3,468"
2011-12-31,"$-1,390"
2011-09-30,"$-2,877"
2011-06-30,$183
2011-03-31,$171
2010-12-31,$242
2010-09-30,$184
2010-06-30,$143
2010-03-31,$259
2009-12-31,$211
2009-09-30,$216
2009-06-30,$131
2009-03-31,$381
