Chord Energy Quarterly Net Income (Millions of US $),Chord Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$213
2024-03-31,$199
2023-12-31,$302
2023-09-30,$209
2023-06-30,$216
2023-03-31,$297
2022-12-31,$378
2022-09-30,$882
2022-06-30,$131
2022-03-31,$466
2021-12-31,$218
2021-09-30,$72
2021-06-30,$73
2021-03-31,$-44
2020-12-31,$769
2020-09-30,$-56
2020-06-30,$-93
2020-03-31,"$-4,311"
2019-12-31,$-76
2019-09-30,$20
2019-06-30,$43
2019-03-31,$-115
2018-12-31,$222
2018-09-30,$62
2018-06-30,$-320
2018-03-31,$1
2017-12-31,$125
2017-09-30,$-41
2017-06-30,$17
2017-03-31,$24
2016-12-31,$-55
2016-09-30,$-34
2016-06-30,$-90
2016-03-31,$-64
2015-12-31,$4
2015-09-30,$27
2015-06-30,$-53
2015-03-31,$-18
2014-12-31,$177
2014-09-30,$122
2014-06-30,$39
2014-03-31,$170
2013-12-31,$54
2013-09-30,$54
2013-06-30,$67
2013-03-31,$52
2012-12-31,$43
2012-09-30,$18
2012-06-30,$76
2012-03-31,$16
2011-12-31,$-13
2011-09-30,$66
2011-06-30,$33
2011-03-31,$-7
2010-12-31,$2
2010-09-30,$-2
2010-06-30,$-26
2010-03-31,$-3
2009-09-30,$-0
2009-06-30,$-6
