Howard Hughes Holdings Quarterly Net Income (Millions of US $),Howard Hughes Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$22
2024-03-31,$-52
2023-12-31,$35
2023-09-30,$-544
2023-06-30,$-19
2023-03-31,$-23
2022-12-31,$53
2022-09-30,$108
2022-06-30,$22
2022-03-31,$2
2021-12-31,$114
2021-09-30,$4
2021-06-30,$5
2021-03-31,$-67
2020-12-31,$-7
2020-09-30,$140
2020-06-30,$-34
2020-03-31,$-125
2019-12-31,$-1
2019-09-30,$30
2019-06-30,$13
2019-03-31,$32
2018-12-31,$37
2018-09-30,$23
2018-06-30,$-5
2018-03-31,$1
2017-12-31,$149
2017-09-30,$11
2017-06-30,$3
2017-03-31,$6
2016-12-31,$44
2016-09-30,$8
2016-06-30,$7
2016-03-31,$144
2015-12-31,$26
2015-09-30,$156
2015-06-30,$51
2015-03-31,$-106
2014-12-31,$32
2014-09-30,$46
2014-06-30,$-15
2014-03-31,$-86
2013-12-31,$19
2013-09-30,$7
2013-06-30,$-77
2013-03-31,$-23
2012-12-31,$-1
2012-09-30,$-49
2012-06-30,$34
2012-03-31,$-112
2011-12-31,$31
2011-09-30,$164
2011-06-30,$66
2011-03-31,$-115
2010-12-31,$-5
2010-09-30,$-16
2010-06-30,$-28
2010-03-31,$-21
2009-12-31,
2009-09-30,$-24
