Kontoor Brands Quarterly Net Income (Millions of US $),Kontoor Brands Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$60
2023-12-31,$69
2023-09-30,$60
2023-06-30,$36
2023-03-31,$66
2022-12-31,$52
2022-09-30,$51
2022-06-30,$62
2022-03-31,$81
2021-12-31,$44
2021-09-30,$63
2021-06-30,$24
2021-03-31,$64
2020-12-31,$43
2020-09-30,$61
2020-06-30,$-33
2020-03-31,$-3
2019-12-31,$29
2019-09-30,$15
2019-06-30,$38
2019-03-31,$15
2018-12-31,$52
2018-09-30,$71
2018-06-30,$60
2018-03-31,$80
2017-12-31,
