Watsco Quarterly Net Income (Millions of US $),Watsco Quarterly Net Income (Millions of US $).1
2024-06-30,$169
2024-03-31,$87
2023-12-31,$58
2023-09-30,$171
2023-06-30,$161
2023-03-31,$110
2022-12-31,$86
2022-09-30,$158
2022-06-30,$193
2022-03-31,$113
2021-12-31,$73
2021-09-30,$128
2021-06-30,$131
2021-03-31,$49
2020-12-31,$45
2020-09-30,$97
2020-06-30,$79
2020-03-31,$25
2019-12-31,$36
2019-09-30,$77
2019-06-30,$83
2019-03-31,$30
2018-12-31,$37
2018-09-30,$73
2018-06-30,$83
2018-03-31,$30
2017-12-31,$41
2017-09-30,$60
2017-06-30,$68
2017-03-31,$23
2016-12-31,$27
2016-09-30,$58
2016-06-30,$59
2016-03-31,$23
2015-12-31,$25
2015-09-30,$53
2015-06-30,$60
2015-03-31,$21
2014-12-31,$22
2014-09-30,$50
2014-06-30,$52
2014-03-31,$16
2013-12-31,$16
2013-09-30,$42
2013-06-30,$48
2013-03-31,$12
2012-12-31,$4
2012-09-30,$38
2012-06-30,$36
2012-03-31,$7
2011-12-31,$13
2011-09-30,$31
2011-06-30,$34
2011-03-31,$6
2010-12-31,$8
2010-09-30,$30
2010-06-30,$35
2010-03-31,$4
2009-12-31,$7
2009-09-30,$21
2009-06-30,$16
2009-03-31,$-1
