Crocs Quarterly Net Income (Millions of US $),Crocs Quarterly Net Income (Millions of US $).1
2024-06-30,$229
2024-03-31,$152
2023-12-31,$254
2023-09-30,$177
2023-06-30,$212
2023-03-31,$150
2022-12-31,$138
2022-09-30,$169
2022-06-30,$160
2022-03-31,$73
2021-12-31,$155
2021-09-30,$153
2021-06-30,$319
2021-03-31,$98
2020-12-31,$183
2020-09-30,$62
2020-06-30,$57
2020-03-31,$11
2019-12-31,$20
2019-09-30,$36
2019-06-30,$39
2019-03-31,$25
2018-12-31,$-111
2018-09-30,$7
2018-06-30,$25
2018-03-31,$10
2017-12-31,$-25
2017-09-30,$-2
2017-06-30,$15
2017-03-31,$7
2016-12-31,$-44
2016-09-30,$-5
2016-06-30,$12
2016-03-31,$6
2015-12-31,$-74
2015-09-30,$-28
2015-06-30,$10
2015-03-31,$-6
2014-12-31,$-57
2014-09-30,$12
2014-06-30,$20
2014-03-31,$6
2013-12-31,$-67
2013-09-30,$13
2013-06-30,$35
2013-03-31,$29
2012-12-31,$-3
2012-09-30,$45
2012-06-30,$62
2012-03-31,$28
2011-12-31,$5
2011-09-30,$30
2011-06-30,$55
2011-03-31,$22
2010-12-31,$4
2010-09-30,$25
2010-06-30,$32
2010-03-31,$6
2009-12-31,$-11
2009-09-30,$22
2009-06-30,$-30
2009-03-31,$-22
