EPR Properties Quarterly Net Income (Millions of US $),EPR Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$39
2024-03-31,$57
2023-12-31,$39
2023-09-30,$50
2023-06-30,$8
2023-03-31,$52
2022-12-31,$36
2022-09-30,$45
2022-06-30,$35
2022-03-31,$36
2021-12-31,$39
2021-09-30,$26
2021-06-30,$13
2021-03-31,$-3
2020-12-31,$-26
2020-09-30,$-92
2020-06-30,$-69
2020-03-31,$31
2019-12-31,$30
2019-09-30,$28
2019-06-30,$61
2019-03-31,$59
2018-12-31,$48
2018-09-30,$86
2018-06-30,$86
2018-03-31,$24
2017-12-31,$55
2017-09-30,$57
2017-06-30,$75
2017-03-31,$48
2016-12-31,$52
2016-09-30,$52
2016-06-30,$49
2016-03-31,$48
2015-12-31,$47
2015-09-30,$44
2015-06-30,$43
2015-03-31,$37
2014-12-31,$47
2014-09-30,$37
2014-06-30,$35
2014-03-31,$38
2013-12-31,$57
2013-09-30,$38
2013-06-30,$27
2013-03-31,$35
2012-12-31,$19
2012-09-30,$28
2012-06-30,$31
2012-03-31,$15
2011-12-31,$32
2011-09-30,$26
2011-06-30,$-8
2011-03-31,$34
2010-12-31,$27
2010-09-30,$27
2010-06-30,$8
2010-03-31,$23
2009-12-31,$7
2009-09-30,$-67
2009-06-30,$20
2009-03-31,$18
