Boyd Gaming Quarterly Net Income (Millions of US $),Boyd Gaming Quarterly Net Income (Millions of US $).1
2024-06-30,$140
2024-03-31,$136
2023-12-31,$93
2023-09-30,$135
2023-06-30,$192
2023-03-31,$200
2022-12-31,$173
2022-09-30,$157
2022-06-30,$147
2022-03-31,$163
2021-12-31,$110
2021-09-30,$138
2021-06-30,$114
2021-03-31,$102
2020-12-31,$83
2020-09-30,$38
2020-06-30,$-109
2020-03-31,$-148
2019-12-31,$24
2019-09-30,$39
2019-06-30,$48
2019-03-31,$45
2018-12-31,$23
2018-09-30,$12
2018-06-30,$39
2018-03-31,$41
2017-12-31,$82
2017-09-30,$23
2017-06-30,$49
2017-03-31,$35
2016-12-31,$14
2016-09-30,$343
2016-06-30,$30
2016-03-31,$33
2015-12-31,$-7
2015-09-30,$25
2015-06-30,$-6
2015-03-31,$35
2014-12-31,$-32
2014-09-30,$-15
2014-06-30,$1
2014-03-31,$-6
2013-12-31,$-47
2013-09-30,$-37
2013-06-30,$12
2013-03-31,$-7
2012-12-31,$-900
2012-09-30,$-16
2012-06-30,$1
2012-03-31,$6
2011-12-31,$-0
2011-09-30,$3
2011-06-30,$-3
2011-03-31,$-4
2010-12-31,$-7
2010-09-30,$6
2010-06-30,$3
2010-03-31,$8
2009-12-31,$-1
2009-09-30,$6
2009-06-30,$13
2009-03-31,$-14
