Mercury General Quarterly Net Income (Millions of US $),Mercury General Quarterly Net Income (Millions of US $).1
2024-06-30,$63
2024-03-31,$73
2023-12-31,$191
2023-09-30,$-8
2023-06-30,$-42
2023-03-31,$-45
2022-12-31,$-7
2022-09-30,$-98
2022-06-30,$-211
2022-03-31,$-197
2021-12-31,$30
2021-09-30,$1
2021-06-30,$109
2021-03-31,$107
2020-12-31,$167
2020-09-30,$119
2020-06-30,$228
2020-03-31,$-139
2019-12-31,$32
2019-09-30,$69
2019-06-30,$83
2019-03-31,$136
2018-12-31,$-82
2018-09-30,$59
2018-06-30,$60
2018-03-31,$-43
2017-12-31,$20
2017-09-30,$46
2017-06-30,$52
2017-03-31,$27
2016-12-31,$-26
2016-09-30,$27
2016-06-30,$49
2016-03-31,$23
2015-12-31,$23
2015-09-30,$15
2015-06-30,$10
2015-03-31,$26
2014-12-31,$-21
2014-09-30,$31
2014-06-30,$95
2014-03-31,$73
2013-12-31,$15
2013-09-30,$40
2013-06-30,$-9
2013-03-31,$66
2012-12-31,$-17
2012-09-30,$66
2012-06-30,$-5
2012-03-31,$73
2011-12-31,$79
2011-09-30,$-4
2011-06-30,$57
2011-03-31,$58
2010-12-31,$-24
2010-09-30,$97
2010-06-30,$18
2010-03-31,$61
2009-12-31,$34
2009-09-30,$158
2009-06-30,$114
2009-03-31,$97
