Allison Transmission Holdings Quarterly Net Income (Millions of US $),Allison Transmission Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$187
2024-03-31,$169
2023-12-31,$170
2023-09-30,$158
2023-06-30,$175
2023-03-31,$170
2022-12-31,$141
2022-09-30,$139
2022-06-30,$122
2022-03-31,$129
2021-12-31,$118
2021-09-30,$94
2021-06-30,$110
2021-03-31,$120
2020-12-31,$60
2020-09-30,$77
2020-06-30,$23
2020-03-31,$139
2019-12-31,$107
2019-09-30,$149
2019-06-30,$181
2019-03-31,$167
2018-12-31,$147
2018-09-30,$167
2018-06-30,$174
2018-03-31,$151
2017-12-31,$215
2017-09-30,$111
2017-06-30,$95
2017-03-31,$83
2016-12-31,$61
2016-09-30,$45
2016-06-30,$61
2016-03-31,$48
2015-12-31,$13
2015-09-30,$47
2015-06-30,$54
2015-03-31,$68
2014-12-31,$51
2014-09-30,$69
2014-06-30,$57
2014-03-31,$52
2013-12-31,$43
2013-09-30,$45
2013-06-30,$51
2013-03-31,$28
2012-12-31,$11
2012-09-30,$32
2012-06-30,$413
2012-03-31,$58
2011-12-31,$45
2011-09-30,$39
2011-06-30,$-17
2011-03-31,$37
2010-12-31,
2009-12-31,
