Casey's General Stores Quarterly Net Income (Millions of US $),Casey's General Stores Quarterly Net Income (Millions of US $).1
2024-07-31,$180
2024-04-30,$87
2024-01-31,$87
2023-10-31,$159
2023-07-31,$169
2023-04-30,$56
2023-01-31,$100
2022-10-31,$138
2022-07-31,$153
2022-04-30,$60
2022-01-31,$64
2021-10-31,$97
2021-07-31,$119
2021-04-30,$69
2021-01-31,$39
2020-10-31,$112
2020-07-31,$121
2020-04-30,$62
2020-01-31,$34
2019-10-31,$82
2019-07-31,$86
2019-04-30,$25
2019-01-31,$42
2018-10-31,$67
2018-07-31,$70
2018-04-30,$19
2018-01-31,$193
2017-10-31,$49
2017-07-31,$57
2017-04-30,$30
2017-01-31,$23
2016-10-31,$57
2016-07-31,$67
2016-04-30,$47
2016-01-31,$38
2015-10-31,$79
2015-07-31,$62
2015-04-30,$41
2015-01-31,$39
2014-10-31,$50
2014-07-31,$50
2014-04-30,$21
2014-01-31,$13
2013-10-31,$39
2013-07-31,$54
2013-04-30,$16
2013-01-31,$15
2012-10-31,$33
2012-07-31,$39
2012-04-30,$23
2012-01-31,$17
2011-10-31,$38
2011-07-31,$39
2011-04-30,$23
2011-01-31,$13
2010-10-31,$22
2010-07-31,$37
2010-04-30,$22
2010-01-31,$17
2009-10-31,$34
2009-07-31,$44
2009-04-30,$16
2009-01-31,$14
