Western Union Quarterly Net Income (Millions of US $),Western Union Quarterly Net Income (Millions of US $).1
2024-06-30,$141
2024-03-31,$143
2023-12-31,$127
2023-09-30,$171
2023-06-30,$176
2023-03-31,$152
2022-12-31,$249
2022-09-30,$174
2022-06-30,$194
2022-03-31,$293
2021-12-31,$169
2021-09-30,$233
2021-06-30,$223
2021-03-31,$182
2020-12-31,$177
2020-09-30,$229
2020-06-30,$162
2020-03-31,$177
2019-12-31,$135
2019-09-30,$135
2019-06-30,$615
2019-03-31,$173
2018-12-31,$212
2018-09-30,$209
2018-06-30,$218
2018-03-31,$214
2017-12-31,"$-1,121"
2017-09-30,$236
2017-06-30,$167
2017-03-31,$162
2016-12-31,$-355
2016-09-30,$217
2016-06-30,$206
2016-03-31,$186
2015-12-31,$212
2015-09-30,$232
2015-06-30,$189
2015-03-31,$204
2014-12-31,$222
2014-09-30,$234
2014-06-30,$194
2014-03-31,$203
2013-12-31,$173
2013-09-30,$214
2013-06-30,$199
2013-03-31,$212
2012-12-31,$238
2012-09-30,$270
2012-06-30,$271
2012-03-31,$247
2011-12-31,$452
2011-09-30,$240
2011-06-30,$263
2011-03-31,$210
2010-12-31,$243
2010-09-30,$238
2010-06-30,$221
2010-03-31,$208
2009-12-31,$224
2009-09-30,$181
2009-06-30,$220
2009-03-31,$224
