National Beverage Quarterly Net Income (Millions of US $),National Beverage Quarterly Net Income (Millions of US $).1
2024-07-31,$57
2024-04-30,$44
2024-01-31,$40
2023-10-31,$44
2023-07-31,$50
2023-04-30,$36
2023-01-31,$34
2022-10-31,$36
2022-07-31,$35
2022-04-30,$34
2022-01-31,$31
2021-10-31,$39
2021-07-31,$54
2021-04-30,$39
2021-01-31,$37
2020-10-31,$47
2020-07-31,$51
2020-04-30,$36
2020-01-31,$27
2019-10-31,$33
2019-07-31,$35
2019-04-30,$26
2019-01-31,$25
2018-10-31,$41
2018-07-31,$49
2018-04-30,$36
2018-01-31,$41
2017-10-31,$34
2017-07-31,$38
2017-04-30,$29
2017-01-31,$24
2016-10-31,$25
2016-07-31,$29
2016-04-30,$17
2016-01-31,$11
2015-10-31,$15
2015-07-31,$17
2015-04-30,$12
2015-01-31,$9
2014-10-31,$13
2014-07-31,$15
2014-04-30,$12
2014-01-31,$7
2013-10-31,$12
2013-07-31,$12
2013-04-30,$12
2013-01-31,$8
2012-10-31,$12
2012-07-31,$14
2012-04-30,$12
2012-01-31,$8
2011-10-31,$11
2011-07-31,$13
2011-04-30,$11
2011-01-31,$7
2010-10-31,$10
2010-07-31,$12
2010-04-30,$9
2010-01-31,$6
2009-10-31,$8
2009-07-31,$10
2009-04-30,$7
2009-01-31,$4
