Lincoln National Quarterly Net Income (Millions of US $),Lincoln National Quarterly Net Income (Millions of US $).1
2024-06-30,$884
2024-03-31,"$1,191"
2023-12-31,"$-1,164"
2023-09-30,$819
2023-06-30,$502
2023-03-31,$-909
2022-12-31,$821
2022-09-30,"$-1,777"
2022-06-30,$833
2022-03-31,"$1,481"
2021-12-31,"$2,593"
2021-09-30,$318
2021-06-30,$642
2021-03-31,$225
2020-12-31,$143
2020-09-30,$398
2020-06-30,$-94
2020-03-31,$52
2019-12-31,$432
2019-09-30,$-161
2019-06-30,$363
2019-03-31,$252
2018-12-31,$399
2018-09-30,$490
2018-06-30,$385
2018-03-31,$367
2017-12-31,$815
2017-09-30,$418
2017-06-30,$411
2017-03-31,$435
2016-12-31,$189
2016-09-30,$467
2016-06-30,$325
2016-03-31,$211
2015-12-31,$283
2015-09-30,$227
2015-06-30,$344
2015-03-31,$300
2014-12-31,$349
2014-09-30,$439
2014-06-30,$398
2014-03-31,$329
2013-12-31,$351
2013-09-30,$337
2013-06-30,$317
2013-03-31,$239
2012-12-31,$321
2012-09-30,$428
2012-06-30,$321
2012-03-31,$243
2011-12-31,$-550
2011-09-30,$153
2011-06-30,$304
2011-03-31,$314
2010-12-31,$118
2010-09-30,$246
2010-06-30,$106
2010-03-31,$265
2009-12-31,$83
2009-09-30,$137
2009-06-30,$-161
2009-03-31,$-579
