Sirius XM Holdings Quarterly Net Income (Millions of US $),Sirius XM Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$316
2024-03-31,$265
2023-12-31,$352
2023-09-30,$363
2023-06-30,$310
2023-03-31,$233
2022-12-31,$365
2022-09-30,$247
2022-06-30,$292
2022-03-31,$309
2021-12-31,$319
2021-09-30,$343
2021-06-30,$433
2021-03-31,$219
2020-12-31,$-677
2020-09-30,$272
2020-06-30,$243
2020-03-31,$293
2019-12-31,$243
2019-09-30,$246
2019-06-30,$263
2019-03-31,$162
2018-12-31,$251
2018-09-30,$343
2018-06-30,$293
2018-03-31,$289
2017-12-31,$-37
2017-09-30,$276
2017-06-30,$202
2017-03-31,$207
2016-12-31,$205
2016-09-30,$194
2016-06-30,$175
2016-03-31,$172
2015-12-31,$135
2015-09-30,$167
2015-06-30,$103
2015-03-31,$106
2014-12-31,$143
2014-09-30,$136
2014-06-30,$120
2014-03-31,$94
2013-12-31,$66
2013-09-30,$63
2013-06-30,$126
2013-03-31,$119
2012-12-31,$355
2012-09-30,$47
2012-06-30,"$1,858"
2012-03-31,$64
2011-12-31,$-70
2011-09-30,$62
2011-06-30,$183
2011-03-31,$78
2010-12-31,$-99
2010-09-30,$68
2010-06-30,$15
2010-03-31,$42
2009-12-31,$12
2009-09-30,$-152
2009-06-30,$-160
2009-03-31,$-239
