Denali Therapeutics Quarterly Net Income (Millions of US $),Denali Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-99
2024-03-31,$-102
2023-12-31,$-119
2023-09-30,$-99
2023-06-30,$183
2023-03-31,$-110
2022-12-31,$-99
2022-09-30,$-103
2022-06-30,$-59
2022-03-31,$-65
2021-12-31,$-75
2021-09-30,$-85
2021-06-30,$-61
2021-03-31,$-70
2020-12-31,$245
2020-09-30,$-58
2020-06-30,$-59
2020-03-31,$-57
2019-12-31,$-54
2019-09-30,$-46
2019-06-30,$-58
2019-03-31,$-39
2018-12-31,$78
2018-09-30,$-35
2018-06-30,$-55
2018-03-31,$-24
2017-12-31,$-23
2017-09-30,$-22
2017-06-30,$-22
2017-03-31,$-21
2016-12-31,
2015-12-31,
