"Grupo Aeroportuario Del Sureste, S.A De C.V Quarterly Net Income (Millions of US $)","Grupo Aeroportuario Del Sureste, S.A De C.V Quarterly Net Income (Millions of US $).1"
2024-06-30,$213
2023-12-31,$162
2023-09-30,$159
2023-06-30,$138
2023-03-31,$118
2022-12-31,$131
2022-09-30,$126
2022-06-30,$133
2022-03-31,$107
2021-12-31,$97
2021-09-30,$90
2021-06-30,$62
2021-03-31,$46
2020-12-31,$15
2020-09-30,$5
2020-06-30,$-22
2020-03-31,$95
2019-12-31,$66
2019-09-30,$68
2019-06-30,$75
2019-03-31,$76
2018-12-31,$74
2018-09-30,$52
2018-06-30,$56
2018-03-31,$78
2017-12-31,$120
2017-09-30,$62
2017-06-30,$61
2017-03-31,$66
2016-12-31,$46
2016-09-30,$49
2016-06-30,$48
2016-03-31,$52
2015-12-31,$44
2015-09-30,$43
2015-06-30,$48
2015-03-31,$48
2014-12-31,$34
2014-09-30,$43
2014-06-30,$43
2014-03-31,$49
2013-12-31,$49
2013-09-30,$40
2013-06-30,$50
2013-03-31,$39
2012-12-31,$52
2012-09-30,$31
2012-06-30,$35
2012-03-31,$41
2011-12-31,$33
2011-09-30,$27
2011-06-30,$33
2011-03-31,$36
2010-12-31,$23
2010-09-30,$18
2010-06-30,$27
2010-03-31,$30
2009-12-31,$12
2009-09-30,$13
2009-06-30,$10
2009-03-31,$24
