Magnolia Oil & Gas Corp Quarterly Net Income (Millions of US $),Magnolia Oil & Gas Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$94
2024-03-31,$84
2023-12-31,$97
2023-09-30,$101
2023-06-30,$90
2023-03-31,$95
2022-12-31,$227
2022-09-30,$243
2022-06-30,$251
2022-03-31,$165
2021-12-31,$149
2021-09-30,$118
2021-06-30,$84
2021-03-31,$63
2020-12-31,$28
2020-09-30,$9
2020-06-30,$-18
2020-03-31,"$-1,227"
2019-12-31,$8
2019-09-30,$8
2019-06-30,$19
2019-03-31,$13
2018-12-31,$33
2018-09-30,$53
2018-06-30,$86
2018-03-31,$85
2017-12-31,$143
2017-09-30,$36
2017-06-30,$0
2017-03-31,$-0
2016-12-31,
