Enstar Group Quarterly Net Income (Millions of US $),Enstar Group Quarterly Net Income (Millions of US $).1
2024-06-30,$126
2024-03-31,$119
2023-12-31,$599
2023-09-30,$38
2023-06-30,$21
2023-03-31,$424
2022-12-31,$227
2022-09-30,$-432
2022-06-30,$-434
2022-03-31,$-267
2021-12-31,$137
2021-09-30,$-196
2021-06-30,$378
2021-03-31,$183
2020-12-31,$826
2020-09-30,$615
2020-06-30,$799
2020-03-31,$-517
2019-12-31,$194
2019-09-30,$118
2019-06-30,$232
2019-03-31,$359
2018-12-31,$-113
2018-09-30,$-16
2018-06-30,$8
2018-03-31,$-41
2017-12-31,$128
2017-09-30,$39
2017-06-30,$90
2017-03-31,$55
2016-12-31,$23
2016-09-30,$156
2016-06-30,$41
2016-03-31,$46
2015-12-31,$112
2015-09-30,$49
2015-06-30,$15
2015-03-31,$45
2014-12-31,$106
2014-09-30,$26
2014-06-30,$52
2014-03-31,$30
2013-12-31,$137
2013-09-30,$40
2013-06-30,$19
2013-03-31,$12
2012-12-31,$70
2012-09-30,$48
2012-06-30,$41
2012-03-31,$10
2011-12-31,$129
2011-09-30,$12
2011-06-30,$9
2011-03-31,$4
2010-12-31,$124
2010-09-30,$21
2010-06-30,$12
2010-03-31,$16
2009-12-31,$80
2009-09-30,$35
2009-06-30,$9
2009-03-31,$12
