Post Holdings Quarterly Net Income (Millions of US $),Post Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$100
2024-03-31,$97
2023-12-31,$88
2023-09-30,$60
2023-06-30,$90
2023-03-31,$54
2022-12-31,$98
2022-09-30,$84
2022-06-30,$170
2022-03-31,$523
2021-12-31,$-21
2021-09-30,$30
2021-06-30,$-54
2021-03-31,$110
2020-12-31,$81
2020-09-30,$57
2020-06-30,$36
2020-03-31,$-191
2019-12-31,$99
2019-09-30,$-61
2019-06-30,$16
2019-03-31,$43
2018-12-31,$124
2018-09-30,$-18
2018-06-30,$95
2018-03-31,$89
2017-12-31,$292
2017-09-30,$5
2017-06-30,$-63
2017-03-31,$-6
2016-12-31,$98
2016-09-30,$-40
2016-06-30,
2016-03-31,$2
2015-12-31,$11
2015-09-30,$-77
2015-06-30,$20
2015-03-31,$26
2014-12-31,$-102
2014-09-30,$-292
2014-06-30,$-39
2014-03-31,$-23
2013-12-31,$-5
2013-09-30,$-3
2013-06-30,$1
2013-03-31,$4
2012-12-31,$8
2012-09-30,$11
2012-06-30,$16
2012-03-31,$11
2011-12-31,$13
2011-09-30,$-480
2011-06-30,$2
2011-03-31,$29
2010-12-31,$25
2010-09-30,
2009-09-30,
