H&R Block Quarterly Net Income (Millions of US $),H&R Block Quarterly Net Income (Millions of US $).1
2024-06-30,$258
2024-03-31,$691
2023-12-31,$-190
2023-09-30,$-163
2023-06-30,$302
2023-03-31,$643
2022-12-31,$-224
2022-09-30,$-168
2022-06-30,$223
2022-03-31,$673
2021-12-31,$-191
2021-09-30,$-152
2021-06-30,
2021-04-30,$947
2021-03-31,$758
2021-01-31,$-233
2020-12-31,$-256
2020-10-31,$-224
2020-09-30,$-62
2020-07-31,$91
2020-04-30,
2020-01-31,$-130
2019-10-31,$-188
2019-07-31,$-150
2019-04-30,
2019-01-31,$-126
2018-10-31,$-176
2018-07-31,$-153
2018-04-30,
2018-01-31,$-246
2017-10-31,$-154
2017-07-31,$-131
2017-04-30,
2017-01-31,$-105
2016-10-31,$-146
2016-07-31,$-124
2016-04-30,
2016-01-31,$-82
2015-10-31,$-145
2015-07-31,$-100
2015-04-30,
2015-01-31,$-37
2014-10-31,$-112
2014-07-31,$-116
2014-04-30,
2014-01-31,$-215
2013-10-31,$-105
2013-07-31,$-115
2013-04-30,
2013-01-31,$-18
2012-10-31,$-105
2012-07-31,$-107
2012-04-30,
2012-01-31,$-3
2011-10-31,$-142
2011-07-31,$-175
2011-04-30,
2011-01-31,$-13
2010-10-31,$-109
2010-07-31,$-131
2010-04-30,$691
2010-01-31,$51
2009-10-31,$-129
2009-07-31,$-134
2009-04-30,
2009-01-31,$47
