Suzano S.A Quarterly Net Income (Millions of US $),Suzano S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$-722
2024-03-31,$43
2023-12-31,$938
2023-09-30,$-150
2023-06-30,"$1,025"
2023-03-31,"$1,008"
2022-12-31,"$1,482"
2022-09-30,"$1,039"
2022-06-30,$36
2022-03-31,"$1,972"
2021-12-31,$393
2021-09-30,$-184
2021-06-30,"$1,895"
2021-03-31,$-505
2020-12-31,"$1,551"
2020-09-30,$-216
2020-06-30,$-384
2020-03-31,"$-3,032"
2019-12-31,$306
2019-09-30,$-874
2019-06-30,$179
2019-03-31,$-326
2018-09-30,$-27
