Brookfield Infrastructure Partners LP Quarterly Net Income (Millions of US $),Brookfield Infrastructure Partners LP Quarterly Net Income (Millions of US $).1
2024-06-30,$-38
2024-03-31,$56
2023-12-31,$-82
2023-09-30,$23
2023-06-30,$186
2023-03-31,$-25
2022-12-31,$-7
2022-09-30,$32
2022-06-30,$70
2022-03-31,$6
2021-12-31,$50
2021-09-30,$225
2021-06-30,$192
2021-03-31,$89
2020-12-31,$176
2020-09-30,$-26
2020-06-30,$-61
2020-03-31,$52
2019-12-31,$-13
2019-09-30,$29
2019-06-30,$42
2019-03-31,$-6
2018-12-31,$26
2018-09-30,$-20
2018-06-30,$64
2018-03-31,$122
2017-12-31,$46
2017-09-30,$-11
2017-06-30,$-16
2017-03-31,$-8
2016-12-31,$108
2016-09-30,$40
2016-06-30,$96
2016-03-31,$41
2015-12-31,$25
2015-09-30,$75
2015-06-30,$1
2015-03-31,$84
2014-12-31,$67
2014-09-30,$72
2014-06-30,$13
2014-03-31,$32
2013-12-31,$-195
2013-09-30,$18
2013-06-30,$97
2013-03-31,$-28
2012-12-31,$50
2012-09-30,$68
2012-06-30,$-26
2012-03-31,$10
2011-12-31,$54
2011-09-30,$62
2011-06-30,$26
2011-03-31,$45
2010-12-31,$416
2010-09-30,$-108
2010-06-30,$69
2010-03-31,$-1
2009-12-31,$-8
2009-09-30,$-5
2009-06-30,$69
2009-03-31,$-5
