International Bancshares Quarterly Net Income (Millions of US $),International Bancshares Quarterly Net Income (Millions of US $).1
2024-06-30,$97
2024-03-31,$97
2023-12-31,$106
2023-09-30,$103
2023-06-30,$100
2023-03-31,$102
2022-12-31,$105
2022-09-30,$83
2022-06-30,$58
2022-03-31,$53
2021-12-31,$57
2021-09-30,$55
2021-06-30,$92
2021-03-31,$51
2020-12-31,$48
2020-09-30,$43
2020-06-30,$42
2020-03-31,$35
2019-12-31,$52
2019-09-30,$51
2019-06-30,$50
2019-03-31,$52
2018-12-31,$59
2018-09-30,$51
2018-06-30,$53
2018-03-31,$53
2017-12-31,$45
2017-09-30,$40
2017-06-30,$41
2017-03-31,$32
2016-12-31,$35
2016-09-30,$36
2016-06-30,$30
2016-03-31,$33
2015-12-31,$35
2015-09-30,$32
2015-06-30,$34
2015-03-31,$36
2014-12-31,$39
2014-09-30,$33
2014-06-30,$38
2014-03-31,$44
2013-12-31,$39
2013-09-30,$32
2013-06-30,$28
2013-03-31,$28
2012-12-31,$22
2012-09-30,$22
2012-06-30,$21
2012-03-31,$28
2011-12-31,$27
2011-09-30,$27
2011-06-30,$29
2011-03-31,$30
2010-12-31,$27
2010-09-30,$30
2010-06-30,$31
2010-03-31,$29
2009-12-31,$34
2009-09-30,$34
2009-06-30,$28
2009-03-31,$34
