Cosan S.A Quarterly Net Income (Millions of US $),Cosan S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$-44
2024-03-31,$-39
2023-09-30,$139
2021-06-30,$178
2020-09-30,$41
2020-06-30,$19
2020-03-31,$146
2019-12-31,$88
2019-09-30,$142
2019-06-30,$53
2019-03-31,$51
2018-12-31,$212
2018-09-30,$16
2018-06-30,$6
2018-03-31,$33
2017-12-31,$101
2017-09-30,$78
2017-06-30,$-14
2017-03-31,$7
2016-12-31,$-10
2016-09-30,$49
2016-06-30,$8
2016-03-31,$34
2015-12-31,$121
2015-09-30,$14
2015-06-30,$16
2015-03-31,$3
2014-12-31,$9
2014-09-30,$8
2014-06-30,$17
2014-03-31,$64
2013-12-31,$196
2013-09-30,$53
2013-06-30,$-62
2013-03-31,$15
2012-12-31,$98
2012-09-30,$132
2012-06-30,$-13
2012-03-31,$596
2011-12-31,$31
2011-09-30,$52
2011-06-30,$618
2011-03-31,$381
2010-12-31,$4
2010-09-30,$77
2010-06-30,$-12
2010-03-31,$298
2009-12-31,$21
2009-09-30,$64
2009-06-30,$123
2009-03-31,
