New York Community Bancorp Quarterly Net Income (Millions of US $),New York Community Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$-333
2024-03-31,$-335
2023-12-31,"$-2,719"
2023-09-30,$199
2023-06-30,$405
2023-03-31,"$1,998"
2022-12-31,$157
2022-09-30,$144
2022-06-30,$163
2022-03-31,$145
2021-12-31,$135
2021-09-30,$140
2021-06-30,$144
2021-03-31,$137
2020-12-31,$177
2020-09-30,$106
2020-06-30,$97
2020-03-31,$92
2019-12-31,$89
2019-09-30,$91
2019-06-30,$89
2019-03-31,$89
2018-12-31,$89
2018-09-30,$99
2018-06-30,$99
2018-03-31,$98
2017-12-31,$128
2017-09-30,$102
2017-06-30,$107
2017-03-31,$104
2016-12-31,$115
2016-09-30,$125
2016-06-30,$126
2016-03-31,$129
2015-12-31,$-402
2015-09-30,$114
2015-06-30,$123
2015-03-31,$118
2014-12-31,$130
2014-09-30,$119
2014-06-30,$118
2014-03-31,$114
2013-12-31,$118
2013-09-30,$113
2013-06-30,$123
2013-03-31,$119
2012-12-31,$118
2012-09-30,$129
2012-06-30,$131
2012-03-31,$118
2011-12-31,$116
2011-09-30,$119
2011-06-30,$119
2011-03-31,$123
2010-12-31,$150
2010-09-30,$136
2010-06-30,$131
2010-03-31,$124
2009-12-31,$155
2009-09-30,$99
2009-06-30,$56
2009-03-31,$89
