Equitable Holdings Quarterly Net Income (Millions of US $),Equitable Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$402
2024-03-31,$100
2023-12-31,$-724
2023-09-30,"$1,050"
2023-06-30,$733
2023-03-31,$163
2022-12-31,$36
2022-09-30,$580
2022-06-30,$941
2022-03-31,$516
2021-12-31,"$2,422"
2021-09-30,$658
2021-06-30,$97
2021-03-31,"$-1,501"
2020-12-31,"$-1,257"
2020-09-30,$-790
2020-06-30,"$-4,029"
2020-03-31,"$5,375"
2019-12-31,$-978
2019-09-30,$-374
2019-06-30,$363
2019-03-31,$-775
2018-12-31,"$1,973"
2018-09-30,$-496
2018-06-30,$164
2018-03-31,$214
2017-12-31,$506
2017-09-30,$10
2017-06-30,$608
2017-03-31,$-290
2016-12-31,
