Gerdau S.A Quarterly Net Income (Millions of US $),Gerdau S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$165
2024-03-31,$413
2023-12-31,$130
2023-09-30,$324
2023-06-30,$431
2023-03-31,$617
2022-12-31,$209
2022-09-30,$574
2022-06-30,$870
2022-03-31,$560
2021-12-31,$615
2021-09-30,"$1,068"
2021-06-30,$739
2021-03-31,$449
2020-12-31,$205
2020-09-30,$146
2020-06-30,$59
2020-03-31,$49
2019-12-31,$19
2019-09-30,$72
2019-06-30,$94
2019-03-31,$119
2018-12-31,$102
2018-09-30,$199
2018-06-30,$193
2018-03-31,$136
2017-12-31,$-438
2017-09-30,$43
2017-06-30,$23
2017-03-31,$260
2016-12-31,$-880
2016-09-30,$28
2016-06-30,$21
2016-03-31,$2
2015-12-31,"$-1,021"
2015-09-30,$-555
2015-06-30,$83
2015-03-31,$103
2014-12-31,$159
2014-09-30,$111
2014-06-30,$160
2014-03-31,$168
2013-12-31,$214
2013-09-30,$261
2013-06-30,$190
2013-03-31,$74
2012-12-31,$58
2012-09-30,$192
2012-06-30,$275
2012-03-31,$209
2011-12-31,$239
2011-09-30,$436
2011-06-30,$294
2011-03-31,$235
2010-12-31,$223
2010-09-30,$308
2010-06-30,$411
2010-03-31,$281
2009-12-31,$364
2009-09-30,$297
2009-06-30,$-129
2009-03-31,$38
