Toyota Quarterly Net Income (Millions of US $),Toyota Quarterly Net Income (Millions of US $).1
2024-06-30,"$8,533"
2024-03-31,"$6,495"
2023-12-31,"$9,233"
2023-09-30,"$8,819"
2023-06-30,"$9,573"
2023-03-31,"$4,171"
2022-12-31,"$5,168"
2022-09-30,"$3,127"
2022-06-30,"$5,674"
2022-03-31,"$4,526"
2021-12-31,"$6,967"
2021-09-30,"$5,703"
2021-06-30,"$8,170"
2021-03-31,"$7,154"
2020-12-31,"$8,051"
2020-09-30,"$4,423"
2020-06-30,"$1,477"
2020-03-31,$590
2019-12-31,"$6,790"
2019-09-30,"$5,506"
2019-06-30,"$6,215"
2019-03-31,"$4,023"
2018-12-31,"$1,610"
2018-09-30,"$5,266"
2018-06-30,"$6,047"
2018-03-31,"$4,421"
2017-12-31,"$8,382"
2017-09-30,"$4,124"
2017-06-30,"$5,518"
2017-03-31,"$3,557"
2016-12-31,"$4,476"
2016-09-30,"$3,858"
2016-06-30,"$5,138"
2016-03-31,"$3,730"
2015-12-31,"$5,149"
2015-09-30,"$5,016"
2015-06-30,"$5,300"
2015-03-31,"$3,562"
2014-12-31,"$5,280"
2014-09-30,"$5,175"
2014-06-30,"$5,760"
2014-03-31,"$2,870"
2013-12-31,"$5,255"
2013-09-30,"$4,428"
2013-06-30,"$5,678"
2013-03-31,"$2,091"
2012-12-31,"$1,154"
2012-09-30,"$3,324"
2012-06-30,"$3,661"
2012-03-31,"$1,346"
2011-12-31,"$1,041"
2011-09-30,"$1,049"
2011-06-30,$14
2011-03-31,$430
2010-12-31,"$1,149"
2010-09-30,"$1,177"
2010-06-30,"$2,153"
2010-03-31,"$1,156"
2009-12-31,"$1,664"
2009-09-30,$242
2009-06-30,$-811
2009-03-31,"$-7,312"
