Kemper Quarterly Net Income (Millions of US $),Kemper Quarterly Net Income (Millions of US $).1
2024-06-30,$75
2024-03-31,$71
2023-12-31,$51
2023-09-30,$-146
2023-06-30,$-97
2023-03-31,$-80
2022-12-31,$-53
2022-09-30,$-75
2022-06-30,$-72
2022-03-31,$-86
2021-12-31,$-109
2021-09-30,$-75
2021-06-30,$-63
2021-03-31,$123
2020-12-31,$98
2020-09-30,$122
2020-06-30,$126
2020-03-31,$64
2019-12-31,$125
2019-09-30,$129
2019-06-30,$122
2019-03-31,$155
2018-12-31,$7
2018-09-30,$92
2018-06-30,$38
2018-03-31,$54
2017-12-31,$37
2017-09-30,$48
2017-06-30,$37
2017-03-31,$-0
2016-12-31,$31
2016-09-30,$-16
2016-06-30,$4
2016-03-31,$-2
2015-12-31,$5
2015-09-30,$38
2015-06-30,$30
2015-03-31,$14
2014-12-31,$65
2014-09-30,$5
2014-06-30,$9
2014-03-31,$35
2013-12-31,$55
2013-09-30,$70
2013-06-30,$34
2013-03-31,$58
2012-12-31,$2
2012-09-30,$56
2012-06-30,$2
2012-03-31,$44
2011-12-31,$24
2011-09-30,$2
2011-06-30,$-3
2011-03-31,$52
2010-12-31,$56
2010-09-30,$36
2010-06-30,$38
2010-03-31,$48
2009-12-31,$66
2009-09-30,$62
2009-06-30,$42
2009-03-31,$-6
