Assured Guaranty Quarterly Net Income (Millions of US $),Assured Guaranty Quarterly Net Income (Millions of US $).1
2024-06-30,$78
2024-03-31,$109
2023-12-31,$376
2023-09-30,$157
2023-06-30,$125
2023-03-31,$81
2022-12-31,$94
2022-09-30,$11
2022-06-30,$-47
2022-03-31,$66
2021-12-31,$263
2021-09-30,$17
2021-06-30,$98
2021-03-31,$11
2020-12-31,$148
2020-09-30,$86
2020-06-30,$183
2020-03-31,$-55
2019-12-31,$137
2019-09-30,$69
2019-06-30,$142
2019-03-31,$54
2018-12-31,$88
2018-09-30,$161
2018-06-30,$75
2018-03-31,$197
2017-12-31,$52
2017-09-30,$208
2017-06-30,$153
2017-03-31,$317
2016-12-31,$198
2016-09-30,$478
2016-06-30,$146
2016-03-31,$59
2015-12-31,$429
2015-09-30,$129
2015-06-30,$297
2015-03-31,$201
2014-12-31,$533
2014-09-30,$354
2014-06-30,$159
2014-03-31,$42
2013-12-31,$348
2013-09-30,$384
2013-06-30,$219
2013-03-31,$-144
2012-12-31,$74
2012-09-30,$142
2012-06-30,$377
2012-03-31,$-483
2011-12-31,$-84
2011-09-30,$761
2011-06-30,$-43
2011-03-31,$139
2010-12-31,$-206
2010-09-30,$165
2010-06-30,$204
2010-03-31,$322
2009-12-31,$205
2009-09-30,$-35
2009-06-30,$-170
2009-03-31,$85
