California Resources Quarterly Net Income (Millions of US $),California Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$8
2024-03-31,$-10
2023-12-31,$188
2023-09-30,$-22
2023-06-30,$97
2023-03-31,$301
2022-12-31,$83
2022-09-30,$426
2022-06-30,$190
2022-03-31,$-175
2021-12-31,$714
2021-09-30,$103
2021-06-30,$-111
2021-03-31,$-94
2020-12-31,"$3,724"
2020-09-30,$109
2020-06-30,$-271
2020-03-31,"$-1,796"
2019-12-31,$-67
2019-09-30,$94
2019-06-30,$12
2019-03-31,$-67
2018-12-31,$347
2018-09-30,$65
2018-06-30,$-82
2018-03-31,$-2
2017-12-31,$-138
2017-09-30,$-133
2017-06-30,$-48
2017-03-31,$53
2016-12-31,$-63
2016-09-30,$532
2016-06-30,$-140
2016-03-31,$-50
2015-12-31,"$-3,282"
2015-09-30,$-104
2015-06-30,$-68
2015-03-31,$-100
2014-12-31,"$-2,083"
2014-09-30,$188
2014-06-30,$242
2014-03-31,$219
2013-09-30,$235
