Yum China Quarterly Net Income (Millions of US $),Yum China Quarterly Net Income (Millions of US $).1
2024-06-30,$212
2024-03-31,$287
2023-12-31,$97
2023-09-30,$244
2023-06-30,$197
2023-03-31,$289
2022-12-31,$53
2022-09-30,$206
2022-06-30,$83
2022-03-31,$100
2021-12-31,$475
2021-09-30,$104
2021-06-30,$181
2021-03-31,$230
2020-12-31,$151
2020-09-30,$439
2020-06-30,$132
2020-03-31,$62
2019-12-31,$90
2019-09-30,$223
2019-06-30,$178
2019-03-31,$222
2018-12-31,$74
2018-09-30,$203
2018-06-30,$143
2018-03-31,$288
2017-12-31,$-107
2017-09-30,$176
2017-06-30,$125
2017-03-31,$204
2016-12-31,
2016-06-30,$77
2016-03-31,$145
2015-12-31,
2014-12-31,
