CSW Industrials Quarterly Net Income (Millions of US $),CSW Industrials Quarterly Net Income (Millions of US $).1
2024-06-30,$39
2024-03-31,$32
2023-12-31,$9
2023-09-30,$30
2023-06-30,$31
2023-03-31,$27
2022-12-31,$16
2022-09-30,$24
2022-06-30,$29
2022-03-31,$18
2021-12-31,$9
2021-09-30,$18
2021-06-30,$20
2021-03-31,$9
2020-12-31,$2
2020-09-30,$16
2020-06-30,$12
2020-03-31,$14
2019-12-31,$7
2019-09-30,$9
2019-06-30,$15
2019-03-31,$14
2018-12-31,$5
2018-09-30,$15
2018-06-30,$12
2018-03-31,$6
2017-12-31,$-34
2017-09-30,$7
2017-06-30,$9
2017-03-31,$3
2016-12-31,$0
2016-09-30,$4
2016-06-30,$4
2016-03-31,$2
2015-12-31,$2
2015-09-30,$13
2015-06-30,$9
2015-03-31,
2014-12-31,$6
2014-09-30,$8
2014-03-31,
