Autoliv Quarterly Net Income (Millions of US $),Autoliv Quarterly Net Income (Millions of US $).1
2024-06-30,$138
2024-03-31,$126
2023-12-31,$228
2023-09-30,$133
2023-06-30,$53
2023-03-31,$74
2022-12-31,$156
2022-09-30,$105
2022-06-30,$79
2022-03-31,$83
2021-12-31,$114
2021-09-30,$60
2021-06-30,$104
2021-03-31,$157
2020-12-31,$189
2020-09-30,$98
2020-06-30,$-175
2020-03-31,$75
2019-12-31,$156
2019-09-30,$85
2019-06-30,$109
2019-03-31,$111
2018-12-31,$-91
2018-09-30,$118
2018-06-30,$37
2018-03-31,$127
2017-12-31,$63
2017-09-30,$91
2017-06-30,$130
2017-03-31,$144
2016-12-31,$148
2016-09-30,$138
2016-06-30,$148
2016-03-31,$133
2015-12-31,$186
2015-09-30,$99
2015-06-30,$137
2015-03-31,$36
2014-12-31,$148
2014-09-30,$107
2014-06-30,$83
2014-03-31,$130
2013-12-31,$100
2013-09-30,$124
2013-06-30,$139
2013-03-31,$124
2012-12-31,$139
2012-09-30,$118
2012-06-30,$126
2012-03-31,$101
2011-12-31,$159
2011-09-30,$138
2011-06-30,$145
2011-03-31,$182
2010-12-31,$178
2010-09-30,$140
2010-06-30,$147
2010-03-31,$127
2009-12-31,$61
2009-09-30,$33
2009-06-30,$-21
2009-03-31,$-63
