Avangrid Quarterly Net Income (Millions of US $),Avangrid Quarterly Net Income (Millions of US $).1
2024-06-30,$169
2024-03-31,$351
2023-12-31,$397
2023-09-30,$59
2023-06-30,$85
2023-03-31,$245
2022-12-31,$147
2022-09-30,$105
2022-06-30,$184
2022-03-31,$445
2021-12-31,$164
2021-09-30,$111
2021-06-30,$98
2021-03-31,$334
2020-12-31,$166
2020-09-30,$87
2020-06-30,$88
2020-03-31,$240
2019-12-31,$190
2019-09-30,$150
2019-06-30,$110
2019-03-31,$217
2018-12-31,$111
2018-09-30,$125
2018-06-30,$107
2018-03-31,$244
2017-12-31,$-77
2017-09-30,$99
2017-06-30,$120
2017-03-31,$239
2016-12-31,$209
2016-09-30,$109
2016-06-30,$102
2016-03-31,$212
2015-12-31,$102
2015-09-30,$54
2015-06-30,$11
2015-03-31,$106
2014-12-31,
2014-09-30,$64
2013-12-31,
