Exelixis Quarterly Net Income (Millions of US $),Exelixis Quarterly Net Income (Millions of US $).1
2024-06-30,$226
2024-03-31,$37
2023-12-31,$86
2023-09-30,$1
2023-06-30,$81
2023-03-31,$40
2022-12-31,$-30
2022-09-30,$73
2022-06-30,$71
2022-03-31,$69
2021-12-31,$95
2021-09-30,$38
2021-06-30,$96
2021-03-31,$2
2020-12-31,$28
2020-09-30,$-32
2020-06-30,$67
2020-03-31,$49
2019-12-31,$69
2019-09-30,$97
2019-06-30,$79
2019-03-31,$76
2018-12-31,$360
2018-09-30,$127
2018-06-30,$87
2018-03-31,$116
2017-12-31,$38
2017-09-30,$81
2017-06-30,$18
2017-03-31,$17
2016-12-31,$35
2016-09-30,$-11
2016-06-30,$-35
2016-03-31,$-59
2015-12-31,$-38
2015-09-30,$-46
2015-06-30,$-43
2015-03-31,$-35
2014-12-31,$-51
2014-09-30,$-63
2014-06-30,$-73
2014-03-31,$-75
2013-12-31,$-71
2013-09-30,$-67
2013-06-30,$-62
2013-03-31,$-45
2012-12-31,$-52
2012-09-30,$-33
2012-06-30,$-36
2012-03-31,$-26
2011-12-31,$46
2011-09-30,$78
2011-06-30,$-21
2011-03-31,$-27
2010-12-31,$-18
2010-09-30,$-9
2010-06-30,$-23
2010-03-31,$-43
2009-12-31,$-29
2009-09-30,$-25
2009-06-30,$-45
2009-03-31,$-36
