"Zions Bancorporation, N.A Quarterly Net Income (Millions of US $)","Zions Bancorporation, N.A Quarterly Net Income (Millions of US $).1"
2024-06-30,$190
2024-03-31,$143
2023-12-31,$116
2023-09-30,$168
2023-06-30,$166
2023-03-31,$198
2022-12-31,$277
2022-09-30,$211
2022-06-30,$195
2022-03-31,$195
2021-12-31,$207
2021-09-30,$234
2021-06-30,$345
2021-03-31,$314
2020-12-31,$275
2020-09-30,$167
2020-06-30,$57
2020-03-31,$6
2019-12-31,$174
2019-09-30,$214
2019-06-30,$189
2019-03-31,$205
2018-12-31,$217
2018-09-30,$215
2018-06-30,$187
2018-03-31,$231
2017-12-31,$115
2017-09-30,$152
2017-06-30,$154
2017-03-31,$129
2016-12-31,$124
2016-09-30,$117
2016-06-30,$91
2016-03-31,$79
2015-12-31,$89
2015-09-30,$84
2015-06-30,$-1
2015-03-31,$75
2014-12-31,$67
2014-09-30,$79
2014-06-30,$104
2014-03-31,$76
2013-12-31,$-59
2013-09-30,$210
2013-06-30,$55
2013-03-31,$88
2012-12-31,$36
2012-09-30,$62
2012-06-30,$55
2012-03-31,$25
2011-12-31,$44
2011-09-30,$65
2011-06-30,$29
2011-03-31,$15
2010-12-31,$-110
2010-09-30,$-80
2010-06-30,$-135
2010-03-31,$-87
2009-12-31,$-176
2009-09-30,$-182
2009-06-30,$-24
2009-03-31,$-852
