Toro Quarterly Net Income (Millions of US $),Toro Quarterly Net Income (Millions of US $).1
2024-07-31,$119
2024-04-30,$145
2024-01-31,$65
2023-10-31,$70
2023-07-31,$-15
2023-04-30,$168
2023-01-31,$107
2022-10-31,$118
2022-07-31,$125
2022-04-30,$131
2022-01-31,$70
2021-10-31,$60
2021-07-31,$96
2021-04-30,$142
2021-01-31,$111
2020-10-31,$72
2020-07-31,$89
2020-04-30,$98
2020-01-31,$70
2019-10-31,$38
2019-07-31,$61
2019-04-30,$116
2019-01-31,$60
2018-10-31,$39
2018-07-31,$79
2018-04-30,$131
2018-01-31,$23
2017-10-31,$34
2017-07-31,$68
2017-04-30,$120
2017-01-31,$45
2016-10-31,$30
2016-07-31,$56
2016-04-30,$106
2016-01-31,$39
2015-10-31,$24
2015-07-31,$53
2015-04-30,$94
2015-01-31,$31
2014-10-31,$11
2014-07-31,$50
2014-04-30,$87
2014-01-31,$26
2013-10-31,$5
2013-07-31,$40
2013-04-30,$78
2013-01-31,$31
2012-10-31,$0
2012-07-31,$41
2012-04-30,$69
2012-01-31,$20
2011-10-31,$5
2011-07-31,$35
2011-04-30,$60
2011-01-31,$17
2010-10-31,$3
2010-07-31,$33
2010-04-30,$46
2010-01-31,$11
2009-10-31,$-1
2009-07-31,$20
2009-04-30,$37
2009-01-31,$7
