Kilroy Realty Quarterly Net Income (Millions of US $),Kilroy Realty Quarterly Net Income (Millions of US $).1
2024-06-30,$49
2024-03-31,$50
2023-12-31,$46
2023-09-30,$53
2023-06-30,$56
2023-03-31,$57
2022-12-31,$51
2022-09-30,$80
2022-06-30,$47
2022-03-31,$53
2021-12-31,$47
2021-09-30,$47
2021-06-30,$35
2021-03-31,$498
2020-12-31,$77
2020-09-30,$49
2020-06-30,$19
2020-03-31,$40
2019-12-31,$70
2019-09-30,$44
2019-06-30,$42
2019-03-31,$37
2018-12-31,$159
2018-09-30,$34
2018-06-30,$28
2018-03-31,$36
2017-12-31,$29
2017-09-30,$66
2017-06-30,$30
2017-03-31,$26
2016-12-31,$29
2016-09-30,$51
2016-06-30,$30
2016-03-31,$171
2015-12-31,$25
2015-09-30,$101
2015-06-30,$54
2015-03-31,$40
2014-12-31,$26
2014-09-30,$16
2014-06-30,$27
2014-03-31,$97
2013-12-31,$18
2013-09-30,$6
2013-06-30,$7
2013-03-31,$-1
2012-12-31,$184
2012-09-30,$-3
2012-06-30,$-1
2012-03-31,$68
2011-12-31,$40
2011-09-30,$10
2011-06-30,$-0
2011-03-31,$1
2010-12-31,$0
2010-09-30,$-0
2010-06-30,$-2
2010-03-31,$5
2009-12-31,$-3
2009-09-30,$8
2009-06-30,$9
2009-03-31,$8
