Lear Quarterly Net Income (Millions of US $),Lear Quarterly Net Income (Millions of US $).1
2024-06-30,$173
2024-03-31,$110
2023-12-31,$127
2023-09-30,$133
2023-06-30,$169
2023-03-31,$144
2022-12-31,$118
2022-09-30,$92
2022-06-30,$69
2022-03-31,$49
2021-12-31,$22
2021-09-30,$-27
2021-06-30,$175
2021-03-31,$204
2020-12-31,$202
2020-09-30,$174
2020-06-30,$-294
2020-03-31,$76
2019-12-31,$153
2019-09-30,$220
2019-06-30,$182
2019-03-31,$236
2018-12-31,$219
2018-09-30,$250
2018-06-30,$322
2018-03-31,$348
2017-12-31,$398
2017-09-30,$273
2017-06-30,$312
2017-03-31,$306
2016-12-31,$230
2016-09-30,$214
2016-06-30,$282
2016-03-31,$248
2015-12-31,$235
2015-09-30,$181
2015-06-30,$182
2015-03-31,$147
2014-12-31,$262
2014-09-30,$140
2014-06-30,$149
2014-03-31,$122
2013-12-31,$73
2013-09-30,$113
2013-06-30,$137
2013-03-31,$109
2012-12-31,$882
2012-09-30,$121
2012-06-30,$145
2012-03-31,$134
2011-12-31,$107
2011-09-30,$101
2011-06-30,$178
2011-03-31,$156
2010-12-31,$87
2010-09-30,$95
2010-06-30,$160
2010-03-31,$66
2009-12-31,$24
2009-09-30,$25
2009-06-30,$-174
2009-03-31,$-265
