Sensata Technologies Holding Quarterly Net Income (Millions of US $),Sensata Technologies Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$72
2024-03-31,$76
2023-12-31,$-202
2023-09-30,$63
2023-06-30,$49
2023-03-31,$86
2022-12-31,$113
2022-09-30,$140
2022-06-30,$35
2022-03-31,$22
2021-12-31,$112
2021-09-30,$85
2021-06-30,$113
2021-03-31,$54
2020-12-31,$122
2020-09-30,$77
2020-06-30,$-43
2020-03-31,$8
2019-12-31,$54
2019-09-30,$71
2019-06-30,$73
2019-03-31,$85
2018-12-31,$254
2018-09-30,$149
2018-06-30,$105
2018-03-31,$90
2017-12-31,$169
2017-09-30,$88
2017-06-30,$79
2017-03-31,$72
2016-12-31,$67
2016-09-30,$70
2016-06-30,$66
2016-03-31,$61
2015-12-31,$218
2015-09-30,$53
2015-06-30,$41
2015-03-31,$35
2014-12-31,$70
2014-09-30,$82
2014-06-30,$64
2014-03-31,$68
2013-12-31,$67
2013-09-30,$66
2013-06-30,$20
2013-03-31,$35
2012-12-31,$71
2012-09-30,$42
2012-06-30,$26
2012-03-31,$39
2011-12-31,$24
2011-09-30,$26
2011-06-30,$-35
2011-03-31,$-10
2010-12-31,$69
2010-09-30,$-48
2010-06-30,$83
2010-03-31,$27
2009-12-31,$14
2009-09-30,$-54
2009-06-30,$23
2009-03-31,$-10
