Belden Inc Quarterly Net Income (Millions of US $),Belden Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$49
2024-03-31,$37
2023-12-31,$38
2023-09-30,$72
2023-06-30,$69
2023-03-31,$63
2022-12-31,$62
2022-09-30,$98
2022-06-30,$59
2022-03-31,$36
2021-12-31,$-50
2021-09-30,$41
2021-06-30,$44
2021-03-31,$29
2020-12-31,$7
2020-09-30,$17
2020-06-30,$-68
2020-03-31,$-11
2019-12-31,$-147
2019-09-30,$-298
2019-06-30,$33
2019-03-31,$16
2018-12-31,$35
2018-09-30,$77
2018-06-30,$20
2018-03-31,$-6
2017-12-31,$22
2017-09-30,$-8
2017-06-30,$27
2017-03-31,$17
2016-12-31,$25
2016-09-30,$29
2016-06-30,$42
2016-03-31,$16
2015-12-31,$50
2015-09-30,$15
2015-06-30,$22
2015-03-31,$-20
2014-12-31,$16
2014-09-30,$34
2014-06-30,$0
2014-03-31,$25
2013-12-31,$23
2013-09-30,$29
2013-06-30,$29
2013-03-31,$22
2012-12-31,$167
2012-09-30,$-39
2012-06-30,$42
2012-03-31,$24
2011-12-31,$27
2011-09-30,$31
2011-06-30,$35
2011-03-31,$22
2010-12-31,$56
2010-09-30,$21
2010-06-30,$20
2010-03-31,$12
2009-12-31,$20
2009-09-30,$-7
2009-06-30,$-5
2009-03-31,$-32
