Applied Industrial Technologies Quarterly Net Income (Millions of US $),Applied Industrial Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$103
2024-03-31,$97
2023-12-31,$91
2023-09-30,$94
2023-06-30,$92
2023-03-31,$97
2022-12-31,$80
2022-09-30,$77
2022-06-30,$79
2022-03-31,$68
2021-12-31,$57
2021-09-30,$53
2021-06-30,$59
2021-03-31,$56
2020-12-31,$-5
2020-09-30,$35
2020-06-30,$30
2020-03-31,$-83
2019-12-31,$38
2019-09-30,$39
2019-06-30,$40
2019-03-31,$17
2018-12-31,$39
2018-09-30,$49
2018-06-30,$40
2018-03-31,$37
2017-12-31,$31
2017-09-30,$34
2017-06-30,$53
2017-03-31,$29
2016-12-31,$24
2016-09-30,$27
2016-06-30,$26
2016-03-31,$-45
2015-12-31,$24
2015-09-30,$24
2015-06-30,$28
2015-03-31,$29
2014-12-31,$30
2014-09-30,$29
2014-06-30,$30
2014-03-31,$30
2013-12-31,$26
2013-09-30,$27
2013-06-30,$32
2013-03-31,$29
2012-12-31,$27
2012-09-30,$30
2012-06-30,$32
2012-03-31,$29
2011-12-31,$21
2011-09-30,$26
2011-06-30,$28
2011-03-31,$27
2010-12-31,$21
2010-09-30,$21
2010-06-30,$28
2010-03-31,$17
2009-12-31,$10
2009-09-30,$11
2009-06-30,$-8
2009-03-31,$12
