Ultrapar Participacoes S.A Quarterly Net Income (Millions of US $),Ultrapar Participacoes S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$84
2024-03-31,$87
2023-12-31,$218
2023-09-30,$177
2023-06-30,$43
2023-03-31,$50
2022-12-31,$156
2022-09-30,$14
2022-06-30,$92
2022-03-31,$87
2021-12-31,$69
2021-09-30,$71
2021-06-30,$-6
2021-03-31,$24
2020-12-31,$80
2020-09-30,$49
2020-06-30,$8
2020-03-31,$36
2019-12-31,$-70
2019-09-30,$75
2019-06-30,$28
2019-03-31,$62
2018-12-31,$142
2018-09-30,$83
2018-06-30,$67
2018-03-31,$23
2017-12-31,$124
2017-09-30,$176
2017-06-30,$77
2017-03-31,$117
2016-12-31,$128
2016-09-30,$116
2016-06-30,$104
2016-03-31,$99
2015-12-31,$128
2015-09-30,$84
2015-06-30,$107
2015-03-31,$126
2014-12-31,$129
2014-09-30,$130
2014-06-30,$131
2014-03-31,$111
2013-12-31,$156
2013-09-30,$143
2013-06-30,$123
2013-03-31,$123
2012-12-31,$153
2012-09-30,$141
2012-06-30,$113
2012-03-31,$100
2011-12-31,$128
2011-09-30,$127
2011-06-30,$133
2011-03-31,$116
2010-12-31,$141
2010-09-30,$124
2010-06-30,$111
2010-03-31,$78
2009-12-31,$83
2009-09-30,$78
2009-06-30,$48
2009-03-31,$44
