Texas Pacific Land Quarterly Net Income (Millions of US $),Texas Pacific Land Quarterly Net Income (Millions of US $).1
2024-06-30,$115
2024-03-31,$114
2023-12-31,$113
2023-09-30,$106
2023-06-30,$100
2023-03-31,$87
2022-12-31,$100
2022-09-30,$130
2022-06-30,$119
2022-03-31,$98
2021-12-31,$79
2021-09-30,$84
2021-06-30,$57
2021-03-31,$50
2020-12-31,$45
2020-09-30,$46
2020-06-30,$28
2020-03-31,$57
2019-12-31,$69
2019-09-30,$60
2019-06-30,$50
2019-03-31,$140
2018-12-31,$63
2018-09-30,$51
2018-06-30,$53
2018-03-31,$44
2017-12-31,$25
2017-09-30,$33
2017-06-30,$20
2017-03-31,$19
2016-12-31,$16
2016-09-30,$9
2016-06-30,$10
2016-03-31,$7
2015-12-31,$9
2015-09-30,$11
2015-06-30,$7
2015-03-31,$22
2014-12-31,$8
2014-09-30,$9
2014-06-30,$10
2014-03-31,$7
2013-12-31,$8
2013-09-30,$9
2013-06-30,$6
2013-03-31,$4
2012-12-31,$4
2012-09-30,$4
2012-06-30,$5
2012-03-31,$6
2011-12-31,$7
2011-09-30,$5
2011-06-30,$5
2011-03-31,$3
2010-12-31,$3
2010-09-30,$2
2010-06-30,$4
2010-03-31,$2
2009-12-31,$2
2009-09-30,$2
2009-06-30,$2
2009-03-31,$1
