BCE Quarterly Net Income (Millions of US $),BCE Quarterly Net Income (Millions of US $).1
2024-06-30,$392
2024-03-31,$298
2023-12-31,$280
2023-09-30,$477
2023-06-30,$245
2023-03-31,$536
2022-12-31,$382
2022-09-30,$548
2022-06-30,$467
2022-03-31,$692
2021-12-31,$495
2021-09-30,$601
2021-06-30,$558
2021-03-31,$507
2020-12-31,$667
2020-09-30,$519
2020-06-30,$171
2020-03-31,$507
2019-12-31,$508
2019-09-30,$657
2019-06-30,$569
2019-03-31,$557
2018-12-31,$457
2018-09-30,$623
2018-06-30,$546
2018-03-31,$523
2017-12-31,$455
2017-09-30,$614
2017-06-30,$567
2017-03-31,$513
2016-12-31,$490
2016-09-30,$577
2016-06-30,$604
2016-03-31,$515
2015-12-31,$372
2015-09-30,$565
2015-06-30,$617
2015-03-31,$442
2014-12-31,$435
2014-09-30,$526
2014-06-30,$553
2014-03-31,$561
2013-12-31,$447
2013-09-30,$328
2013-06-30,$549
2013-03-31,$565
2012-12-31,$710
2012-09-30,$568
2012-06-30,$774
2012-03-31,$616
2011-12-31,$515
2011-09-30,$634
2011-06-30,$615
2011-03-31,$556
2010-12-31,$441
2010-09-30,$523
2010-06-30,$600
2010-03-31,$620
2009-12-31,$331
2009-09-30,$533
2009-06-30,$322
2009-03-31,$377
