Advanced Drainage Systems Quarterly Net Income (Millions of US $),Advanced Drainage Systems Quarterly Net Income (Millions of US $).1
2024-06-30,$161
2024-03-31,$95
2023-12-31,$106
2023-09-30,$136
2023-06-30,$174
2023-03-31,$86
2022-12-31,$82
2022-09-30,$152
2022-06-30,$187
2022-03-31,$40
2021-12-31,$63
2021-09-30,$63
2021-06-30,$63
2021-03-31,$17
2020-12-31,$45
2020-09-30,$66
2020-06-30,$58
2020-03-31,$4
2019-12-31,$19
2019-09-30,$6
2019-06-30,$-234
2019-03-31,$1
2018-12-31,$14
2018-09-30,$26
2018-06-30,$29
2018-03-31,$-5
2017-12-31,$29
2017-09-30,$16
2017-06-30,$16
2017-03-31,$-17
2016-12-31,$8
2016-09-30,$21
2016-06-30,$16
2016-03-31,$-11
2015-12-31,$11
2015-09-30,$11
2015-06-30,$10
2015-03-31,$-22
2014-12-31,$-5
2014-09-30,$21
2014-06-30,$-13
2014-03-31,$-12
2013-12-31,$-10
2013-09-30,$10
2013-06-30,$10
2013-03-31,
2012-03-31,
