NatWest Group Quarterly Net Income (Millions of US $),NatWest Group Quarterly Net Income (Millions of US $).1
2024-06-30,
2024-03-31,"$1,164"
2023-09-30,"$1,096"
2023-03-31,"$1,554"
2022-09-30,$220
2022-03-31,"$1,128"
2021-09-30,$929
2021-03-31,$855
2020-09-30,$79
2020-03-31,$369
2019-09-30,$-388
2019-03-31,$921
2018-09-30,$584
2018-03-31,"$1,102"
2017-09-30,$513
2017-03-31,$321
2016-09-30,$-616
2016-03-31,"$-1,387"
2015-12-31,"$-4,265"
2015-09-30,"$1,476"
2015-06-30,$449
2015-03-31,$-686
2014-12-31,"$-8,681"
2014-09-30,"$1,504"
2014-06-30,"$1,124"
2014-03-31,"$2,018"
2013-12-31,"$-14,321"
2013-09-30,"$-1,164"
2013-06-30,$373
2013-03-31,$736
2012-12-31,"$-3,988"
2012-09-30,"$-2,032"
2012-06-30,$-609
2012-03-31,"$-2,465"
2011-12-31,"$-2,885"
2011-09-30,"$1,976"
2011-06-30,"$-1,465"
2011-03-31,$-845
2010-12-31,$43
2010-09-30,"$-1,776"
2010-06-30,$383
2010-03-31,$-387
2009-12-31,"$-1,249"
2009-09-30,"$-2,553"
2009-06-30,$-217
2009-03-31,"$-1,297"
