Old National Bancorp Quarterly Net Income (Millions of US $),Old National Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$117
2024-03-31,$116
2023-12-31,$128
2023-09-30,$144
2023-06-30,$151
2023-03-31,$143
2022-12-31,$197
2022-09-30,$136
2022-06-30,$111
2022-03-31,$-30
2021-12-31,$56
2021-09-30,$72
2021-06-30,$63
2021-03-31,$87
2020-12-31,$74
2020-09-30,$78
2020-06-30,$52
2020-03-31,$23
2019-12-31,$49
2019-09-30,$70
2019-06-30,$63
2019-03-31,$56
2018-12-31,$47
2018-09-30,$51
2018-06-30,$44
2018-03-31,$48
2017-12-31,$-18
2017-09-30,$39
2017-06-30,$39
2017-03-31,$36
2016-12-31,$33
2016-09-30,$35
2016-06-30,$39
2016-03-31,$27
2015-12-31,$32
2015-09-30,$38
2015-06-30,$26
2015-03-31,$21
2014-12-31,$29
2014-09-30,$29
2014-06-30,$19
2014-03-31,$27
2013-12-31,$25
2013-09-30,$24
2013-06-30,$28
2013-03-31,$24
2012-12-31,$23
2012-09-30,$20
2012-06-30,$27
2012-03-31,$22
2011-12-31,$22
2011-09-30,$17
2011-06-30,$17
2011-03-31,$16
2010-12-31,$6
2010-09-30,$12
2010-06-30,$11
2010-03-31,$10
2009-12-31,$-9
2009-09-30,$4
2009-06-30,$10
2009-03-31,$6
