WD-40 Quarterly Net Income (Millions of US $),WD-40 Quarterly Net Income (Millions of US $).1
2024-05-31,$20
2024-02-29,$16
2023-11-30,$17
2023-08-31,$16
2023-05-31,$19
2023-02-28,$17
2022-11-30,$14
2022-08-31,$15
2022-05-31,$14
2022-02-28,$20
2021-11-30,$18
2021-08-31,$8
2021-05-31,$21
2021-02-28,$17
2020-11-30,$24
2020-08-31,$19
2020-05-31,$15
2020-02-29,$14
2019-11-30,$12
2019-08-31,$8
2019-05-31,$18
2019-02-28,$16
2018-11-30,$13
2018-08-31,$21
2018-05-31,$16
2018-02-28,$15
2017-11-30,$13
2017-08-31,$14
2017-05-31,$14
2017-02-28,$12
2016-11-30,$12
2016-08-31,$14
2016-05-31,$13
2016-02-29,$14
2015-11-30,$12
2015-08-31,$12
2015-05-31,$11
2015-02-28,$11
2014-11-30,$11
2014-08-31,$11
2014-05-31,$10
2014-02-28,$10
2013-11-30,$11
2013-08-31,$8
2013-05-31,$10
2013-02-28,$10
2012-11-30,$11
2012-08-31,$9
2012-05-31,$9
2012-02-29,$11
2011-11-30,$7
2011-08-31,$10
2011-05-31,$8
2011-02-28,$9
2010-11-30,$9
2010-08-31,$7
2010-05-31,$9
2010-02-28,$11
2009-11-30,$9
2009-08-31,$8
2009-05-31,$7
2009-02-28,$4
