Gates Industrial Quarterly Net Income (Millions of US $),Gates Industrial Quarterly Net Income (Millions of US $).1
2024-06-30,$71
2024-03-31,$40
2023-12-31,$63
2023-09-30,$79
2023-06-30,$65
2023-03-31,$26
2022-12-31,$85
2022-09-30,$52
2022-06-30,$53
2022-03-31,$31
2021-12-31,$63
2021-09-30,$70
2021-06-30,$97
2021-03-31,$67
2020-12-31,$24
2020-09-30,$42
2020-06-30,$-22
2020-03-31,$36
2019-12-31,$19
2019-09-30,$36
2019-06-30,$22
2019-03-31,$614
2018-12-31,$76
2018-09-30,$60
2018-06-30,$86
2018-03-31,$24
2017-12-31,$119
2017-09-30,$13
2017-06-30,$1
2017-03-31,$19
2016-12-31,
2015-12-31,
2014-12-31,
