LATAM Airlines Group S.A Quarterly Net Income (Millions of US $),LATAM Airlines Group S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$146
2024-03-31,$258
2023-12-31,$83
2023-09-30,$232
2023-06-30,$145
2023-03-31,$122
2022-12-31,"$2,538"
2022-09-30,$-296
2022-06-30,$-523
2022-03-31,$-380
2021-12-31,"$-2,755"
2021-09-30,$-692
2021-06-30,$-770
2021-03-31,$-431
2020-12-31,$-962
2020-09-30,$-573
2020-06-30,$-890
2020-03-31,"$-2,120"
2019-12-31,$227
2019-09-30,$86
2019-06-30,$-63
2019-03-31,$-60
2018-12-31,$390
2018-09-30,$35
2018-06-30,$-208
2018-03-31,$92
2017-12-31,$67
2017-09-30,$161
2017-06-30,$-138
2017-03-31,$66
2016-12-31,$54
2016-09-30,$5
2016-06-30,$-92
2016-03-31,$102
2015-12-31,$-16
2015-09-30,$-113
2015-06-30,$-50
2015-03-31,$-40
2014-12-31,$98
2014-09-30,$-108
2014-06-30,$-55
2014-03-31,$-41
2013-12-31,$-46
2013-09-30,$52
2013-06-30,$-330
2013-03-31,$43
2012-12-31,$-51
2012-09-30,$-64
2012-06-30,$50
2012-03-31,$76
2011-12-31,$113
2011-09-30,$95
2011-06-30,$16
2011-03-31,$97
2010-12-31,$165
2010-09-30,$106
2010-06-30,$61
2010-03-31,$88
2009-12-31,$110
2009-09-30,$52
2009-06-30,$4
2009-03-31,$65
