POSCO Quarterly Net Income (Millions of US $),POSCO Quarterly Net Income (Millions of US $).1
2024-06-30,$371
2024-03-31,$433
2023-12-31,$-165
2023-09-30,$391
2023-06-30,$552
2023-03-31,$581
2022-12-31,$-155
2022-09-30,$357
2022-06-30,"$1,271"
2022-03-31,"$1,369"
2021-12-31,"$1,342"
2021-09-30,"$2,185"
2021-06-30,"$1,496"
2021-03-31,$922
2020-12-31,$544
2020-09-30,$372
2020-06-30,$32
2020-03-31,$316
2019-12-31,$-75
2019-09-30,$345
2019-06-30,$551
2019-03-31,$666
2018-12-31,$-761
2018-09-30,$918
2018-06-30,$491
2018-03-31,$894
2017-12-31,$478
2017-09-30,$782
2017-06-30,$462
2017-03-31,$758
2016-12-31,$133
2016-09-30,$514
2016-06-30,$255
2016-03-31,$288
2015-12-31,$-662
2015-09-30,$312
2015-06-30,$178
2015-03-31,$305
2014-12-31,$-193
2014-09-30,$238
2014-06-30,$547
2014-03-31,$68
2013-12-31,$258
2013-09-30,$510
2013-06-30,$226
2013-03-31,$272
2012-12-31,$527
2012-09-30,$644
2012-06-30,$443
2012-03-31,$560
2011-12-31,$977
2011-09-30,$204
2011-06-30,"$1,217"
2011-03-31,$971
2010-12-31,$453
2010-09-30,$833
2010-06-30,$993
2010-03-31,"$1,265"
2009-12-31,$968
2009-09-30,$959
2009-06-30,$336
2009-03-31,$234
