Tri Pointe Homes Quarterly Net Income (Millions of US $),Tri Pointe Homes Quarterly Net Income (Millions of US $).1
2024-06-30,$118
2024-03-31,$99
2023-12-31,$133
2023-09-30,$75
2023-06-30,$61
2023-03-31,$75
2022-12-31,$203
2022-09-30,$149
2022-06-30,$136
2022-03-31,$87
2021-12-31,$147
2021-09-30,$133
2021-06-30,$118
2021-03-31,$71
2020-12-31,$115
2020-09-30,$79
2020-06-30,$57
2020-03-31,$32
2019-12-31,$118
2019-09-30,$63
2019-06-30,$26
2019-03-31,$0
2018-12-31,$99
2018-09-30,$64
2018-06-30,$64
2018-03-31,$43
2017-12-31,$74
2017-09-30,$72
2017-06-30,$33
2017-03-31,$8
2016-12-31,$58
2016-09-30,$35
2016-06-30,$74
2016-03-31,$29
2015-12-31,$85
2015-09-30,$50
2015-06-30,$55
2015-03-31,$15
2014-12-31,$41
2014-09-30,$11
2014-06-30,$24
2014-03-31,$8
2013-12-31,$-178
2013-09-30,$20
2013-06-30,$2
2013-03-31,$0
2012-12-31,$6
2012-09-30,$-1
2012-06-30,$-1
2012-03-31,$-1
2011-12-31,
