Abercrombie & Fitch Quarterly Net Income (Millions of US $),Abercrombie & Fitch Quarterly Net Income (Millions of US $).1
2024-07-31,$133
2024-04-30,$114
2024-01-31,$158
2023-10-31,$96
2023-07-31,$57
2023-04-30,$17
2023-01-31,$38
2022-10-31,$-2
2022-07-31,$-17
2022-04-30,$-16
2022-01-31,$66
2021-10-31,$47
2021-07-31,$109
2021-04-30,$42
2021-01-31,$82
2020-10-31,$42
2020-07-31,$5
2020-04-30,$-244
2020-01-31,$83
2019-10-31,$7
2019-07-31,$-31
2019-04-30,$-19
2019-01-31,$97
2018-10-31,$24
2018-07-31,$-4
2018-04-30,$-42
2018-01-31,$74
2017-10-31,$10
2017-07-31,$-15
2017-04-30,$-62
2017-01-31,$49
2016-10-31,$8
2016-07-31,$-13
2016-04-30,$-40
2016-01-31,$58
2015-10-31,$42
2015-07-31,$-1
2015-04-30,$-63
2015-01-31,$44
2014-10-31,$18
2014-07-31,$13
2014-04-30,$-24
2014-01-31,$66
2013-10-31,$-16
2013-07-31,$11
2013-04-30,$-7
2013-01-31,$157
2012-10-31,$84
2012-07-31,$17
2012-04-30,$-21
2012-01-31,$36
2011-10-31,$51
2011-07-31,$32
2011-04-30,$25
2011-01-31,$98
2010-10-31,$50
2010-07-31,$19
2010-04-30,$-12
2010-01-31,$47
2009-10-31,$39
2009-07-31,$-27
2009-04-30,$-59
2009-01-31,$68
