Noble Quarterly Net Income (Millions of US $),Noble Quarterly Net Income (Millions of US $).1
2024-06-30,$195
2024-03-31,$95
2023-12-31,$150
2023-09-30,$158
2023-06-30,$66
2023-03-31,$108
2022-12-31,$135
2022-09-30,$34
2022-06-30,$37
2022-03-31,$-37
2021-12-31,$123
2021-09-30,$-24
2021-06-30,$20
2021-03-31,$232
2020-12-31,"$-2,823"
2020-09-30,$-51
2020-06-30,$-42
2020-03-31,"$-1,063"
2019-12-31,$-33
2019-09-30,$-445
2019-06-30,$-152
2019-03-31,$-71
2018-12-31,$-33
2018-09-30,$-82
2018-06-30,$-628
2018-03-31,$-142
2017-12-31,$-25
2017-09-30,$-97
2017-06-30,$-93
2017-03-31,$-302
2016-12-31,"$-1,303"
2016-09-30,$-55
2016-06-30,$323
2016-03-31,$105
2015-12-31,$-145
2015-09-30,$319
2015-06-30,$159
2015-03-31,$178
2014-12-31,$-602
2014-09-30,$127
2014-06-30,$231
2014-03-31,$252
2013-12-31,$174
2013-09-30,$279
2013-06-30,$174
2013-03-31,$148
2012-12-31,$128
2012-09-30,$114
2012-06-30,$158
2012-03-31,$119
2011-12-31,$124
2011-09-30,$135
2011-06-30,$54
2011-03-31,$54
2010-12-31,$91
2010-09-30,$86
2010-06-30,$218
2010-03-31,$371
2009-12-31,$446
2009-09-30,$426
2009-06-30,$392
2009-03-31,$414
