"Vista Oil & Gas, S.A.B De C.V Quarterly Net Income (Millions of US $)","Vista Oil & Gas, S.A.B De C.V Quarterly Net Income (Millions of US $).1"
2024-06-30,$140
2024-03-31,$79
2023-12-31,$133
2023-09-30,$83
2023-06-30,$52
2023-03-31,$129
2022-12-31,$76
2022-09-30,$77
2022-06-30,$102
2022-03-31,$16
2021-12-31,$36
2021-09-30,$5
2021-06-30,$6
2021-03-31,$5
2020-12-31,$-14
2020-09-30,$-28
2020-06-30,$-39
2020-03-31,$-21
2019-12-31,$-44
2019-09-30,$22
2019-06-30,$4
2019-03-31,$-14
2018-12-31,$42
2018-09-30,$-28
2018-06-30,$-41
2018-03-31,$-3
2017-12-31,
