Dorman Products Quarterly Net Income (Millions of US $),Dorman Products Quarterly Net Income (Millions of US $).1
2024-06-30,$47
2024-03-31,$33
2023-12-31,$50
2023-09-30,$41
2023-06-30,$33
2023-03-31,$6
2022-12-31,$18
2022-09-30,$31
2022-06-30,$38
2022-03-31,$35
2021-12-31,$34
2021-09-30,$33
2021-06-30,$32
2021-03-31,$33
2020-12-31,$36
2020-09-30,$34
2020-06-30,$14
2020-03-31,$23
2019-12-31,$18
2019-09-30,$21
2019-06-30,$21
2019-03-31,$23
2018-12-31,$35
2018-09-30,$34
2018-06-30,$34
2018-03-31,$31
2017-12-31,$22
2017-09-30,$27
2017-06-30,$28
2017-03-31,$29
2016-12-31,$29
2016-09-30,$27
2016-06-30,$26
2016-03-31,$25
2015-12-31,$22
2015-09-30,$26
2015-06-30,$23
2015-03-31,$21
2014-12-31,$19
2014-09-30,$25
2014-06-30,$23
2014-03-31,$24
2013-12-31,$21
2013-09-30,$23
2013-06-30,$19
2013-03-31,$19
2012-12-31,$15
2012-09-30,$20
2012-06-30,$20
2012-03-31,$16
2011-12-31,$17
2011-09-30,$12
2011-06-30,$13
2011-03-31,$12
2010-12-31,$12
2010-09-30,$13
2010-06-30,$11
2010-03-31,$10
2009-12-31,$8
2009-09-30,$8
2009-06-30,$6
2009-03-31,$5
