Enel Chile S.A Quarterly Net Income (Millions of US $),Enel Chile S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$112
2024-03-31,$163
2023-12-31,$432
2023-09-30,$194
2023-06-30,$-35
2023-03-31,$169
2022-12-31,"$1,208"
2022-09-30,$110
2022-06-30,$-13
2022-03-31,$72
2021-12-31,$41
2021-09-30,$-20
2021-06-30,$28
2021-03-31,$61
2020-09-30,$132
2020-06-30,$-479
2020-03-31,$85
2018-03-31,$119
2017-12-31,$140
2017-09-30,$125
2017-06-30,$85
2017-03-31,$175
2016-03-31,$52
2015-12-31,
2014-12-31,
